passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_time_sec
1,0.7,-73.98282623,40.73115921,-73.97603607,40.74057007,57648
1,1.25,-73.97884369,40.75676727,-73.99036407,40.7406044,57648
1,0.98,-73.99734497,40.7223053,-73.99546051,40.73285675,57650
1,1.96,-73.97386169,40.75110245,-73.98455811,40.76953125,57650
1,1.1,-73.97792816,40.7383461,-73.99134064,40.73920059,57651
1,0.5,-73.99568176,40.74906921,-73.99116516,40.75561142,57651
1,1.03,-74.00241852,40.72977066,-74.0103302,40.71902847,57651
1,0.57,-73.99854279,40.74515152,-73.98932648,40.74094009,57652
1,0.31,-73.99515533,40.73400879,-73.99730682,40.73680878,57652
1,0.53,-73.9825058,40.75906372,-73.9784317,40.75424576,57652
1,1.12,-74.00676727,40.74921036,-74.00518036,40.73612976,57652
1,2.2,-73.98755646,40.7326088,-73.97746277,40.7588501,57653
3,1.9,-73.99976349,40.72253418,-74.01212311,40.70272064,57653
1,1.63,-74.00863647,40.73272705,-74.00096893,40.7522316,57657
1,3.5,-74.01289368,40.70788956,-73.98622131,40.74860001,57657
6,1.62,-74.00021362,40.72525024,-73.99356842,40.73898315,57657
1,0.89,-73.98925018,40.7481308,-73.97907257,40.75357056,57657
1,1.8,-73.99353027,40.74971771,-73.97370911,40.75479889,57658
1,5.23,-74.01531219,40.70865631,-73.9855423,40.73566818,57659
1,2.36,-73.96749878,40.7604332,-73.99209595,40.74920273,57659
5,0.85,-73.97660828,40.75943375,-73.986763,40.75569916,57659
2,2.07,-73.981987,40.73127747,-74.00466156,40.71710587,57659
1,1.1,-73.99486542,40.73457718,-74.00097656,40.72389603,57660
1,0.81,-74.00218201,40.74007034,-73.99542236,40.74939728,57660
