passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_time_sec
1,2.6,-73.97863007,40.75073624,-74.00411987,40.72926712,57991
2,1.31,-73.99787903,40.75630188,-74.00409698,40.742836,57992
3,1.6,-74.00537872,40.75086975,-74.00887299,40.72963333,57993
1,1.9,-73.98362732,40.74979782,-74.005867,40.73830414,57998
2,1.8,-74.0099411,40.70290756,-74.00102234,40.72042847,58003
1,1.7,-73.99755096,40.73611832,-73.99075317,40.7554245,58004
1,2.6,-73.99124146,40.73912048,-73.9829483,40.76702118,58005
3,1.23,-73.97490692,40.75302887,-73.99069214,40.7508812,58010
6,0.94,-73.97796631,40.75258255,-73.98292542,40.74885941,58015
2,2.8,-74.00370026,40.707798,-74.00563049,40.74021149,58020
1,1,-73.99346924,40.73611832,-73.98897552,40.74798965,58025
1,0.79,-73.99450684,40.7455864,-73.98484039,40.73924637,58026
1,1.5,-73.98214722,40.76902771,-73.98214722,40.76902771,58031
1,1.48,-74.01381683,40.71483612,-74.00766754,40.70329285,58032
1,1.49,-73.99481964,40.74000931,-73.97767639,40.7507782,58037
1,0.7,-73.99289703,40.74261856,-73.98326874,40.74454498,58038
1,0.4,-73.99897766,40.7611351,-73.9928894,40.75791931,58043
2,2.6,-74.00933075,40.71326447,-73.99358368,40.7455864,58048
1,3.2,-74.00042725,40.72108078,-73.98336792,40.75738907,58053
1,3.14,-74.00218201,40.72037888,-73.99368286,40.7519989,58054
1,1.2,-73.99929047,40.74610519,-73.9878006,40.75711441,58059
1,0.6,-73.96976471,40.76331329,-73.97531891,40.75453949,58064
1,0.9,-73.98893738,40.74111557,-73.9776001,40.74884033,58069
2,1.79,-73.9913559,40.73915482,-73.99795532,40.75680542,58074
1,0.29,-73.97554016,40.7491188,-73.97561646,40.75181961,58075
1,1.6,-73.98673248,40.74249649,-73.97673798,40.76177216,58080
1,1.84,-73.99461365,40.75148392,-73.9835434,40.73781967,58085
1,2.4,-73.99175262,40.72660446,-74.00209045,40.75062561,58090
1,0.82,-74.00502014,40.73547363,-74.00190735,40.72474289,58091
5,1.38,-73.994133,40.72834015,-73.99326324,40.74241638,58096
1,0.76,-73.98352814,40.75561142,-73.99021912,40.7512207,58101
1,0.3,-73.98482513,40.74781418,-73.98179626,40.74949265,58106
1,0.8,-73.97647858,40.75987625,-73.97640991,40.75057983,58111
1,1.8,-73.96559143,40.76301575,-73.98581696,40.7566452,58116
5,6.24,-73.98625183,40.75636673,-74.00920105,40.70893097,58117
1,1.1,-73.96847534,40.76188278,-73.98262787,40.75907516,58122
1,1.1,-73.9908905,40.73463058,-74.0050354,40.72854996,58127
2,2.14,-73.98820496,40.74311066,-73.98677826,40.76516342,58132
2,2.9,-73.99259949,40.75864792,-74.01080322,40.72952652,58137
2,2.1,-74.01548004,40.70853043,-74.00881958,40.73756027,58138
1,1.22,-73.98651123,40.75611877,-73.99816895,40.74060822,58143
1,1.8,-73.98143005,40.76282883,-74.00112152,40.7522049,58148
1,1.6,-73.98792267,40.76813126,-73.99075317,40.75073624,58149
1,1.4,-73.97991943,40.75223541,-73.98303223,40.76673126,58154
1,0.4,-73.98969269,40.74541092,-73.98145294,40.74180603,58160
3,1.11,-73.97798157,40.75256348,-73.98043823,40.76427078,58165
1,0.7,-73.98604584,40.7407341,-73.98438263,40.74897003,58166
3,0.72,-73.98220825,40.75184631,-73.98816681,40.74324799,58171
1,2.3,-73.98973083,40.73408508,-73.9690094,40.75867844,58176
2,1.1,-73.98738861,40.73314667,-73.99163055,40.71944809,58182
5,1.92,-74.00359344,40.74185181,-73.98573303,40.75193024,58187
1,1.39,-74.00382233,40.75101089,-73.99461365,40.73957062,58188
2,0.7,-73.98378754,40.75612259,-73.98478699,40.74843216,58193
1,0.96,-73.97395325,40.749897,-73.98889923,40.75713348,58198
5,0.97,-73.9701767,40.74898911,-73.9773407,40.73809052,58199
1,0.5,-73.98931885,40.75789261,-73.98381042,40.76281357,58204
1,1.75,-74.00852966,40.72015381,-73.99228668,40.73570633,58205
3,0.6,-73.98526001,40.72201538,-73.99692535,40.72520447,58206
1,2.4,-73.97777557,40.75797653,-74.00217438,40.73361969,58211
2,2.27,-73.99337006,40.72954941,-73.99411774,40.75136948,58216
4,2.63,-74.01391602,40.71268845,-74.00308228,40.74912643,58221
1,1.8,-73.99436951,40.71948242,-73.9952774,40.73973465,58227
1,1.4,-73.99108124,40.76062775,-73.97362518,40.7644577,58228
1,2.2,-74.00245667,40.75532913,-73.97551727,40.75980759,58233
4,1,-73.99740601,40.72151947,-74.00492859,40.73147964,58238
1,3.4,-73.98580933,40.74960709,-74.00800323,40.71219254,58243
1,0.6,-73.98709869,40.74169922,-73.99507141,40.74511337,58244
1,3.9,-73.99118042,40.74965286,-74.01477814,40.7095108,58249
1,0.5,-73.98508453,40.74205399,-73.99130249,40.73921585,58254
1,1.1,-73.96204376,40.75943756,-73.97633362,40.76581573,58259
4,2.2,-74.00540161,40.74209213,-73.98279572,40.75222015,58260
2,2.9,-73.97162628,40.74642563,-74.00479126,40.73025513,58265
5,1.21,-74.00427246,40.74746704,-73.98960114,40.7538681,58270
1,1.51,-73.99159241,40.74475479,-73.97796631,40.76340866,58271
1,1.8,-74.00363159,40.71367645,-73.98748016,40.7365303,58276
1,2.8,-74.00041962,40.73303986,-73.99365234,40.76215363,58283
1,0.5,-73.98148346,40.74685287,-73.97268677,40.74349594,58288
1,1.57,-73.99423981,40.74565887,-73.99858856,40.72735977,58289
2,1.32,-73.97901917,40.76229858,-73.99147797,40.74993896,58290
1,4.67,-73.97537994,40.76210785,-74.00549316,40.73234558,58295
1,1.3,-74.00720978,40.72733307,-73.9901886,40.73271942,58300
1,0.88,-73.98597717,40.74129868,-73.99262238,40.73030853,58305
1,1.65,-73.99289703,40.75825882,-73.98474884,40.74232101,58310
1,1.1,-73.97340393,40.75206375,-73.97634125,40.76408005,58315
1,1.48,-73.98379517,40.76160049,-73.98203278,40.74636841,58317
1,0.4,-73.99001312,40.7514267,-73.99416351,40.74602509,58318
1,1.2,-73.97671509,40.75165558,-73.98889923,40.76286316,58324
2,2,-73.99411011,40.73503876,-74.00824738,40.72195816,58325
1,1.8,-73.98891449,40.7537117,-73.991745,40.76886368,58330
1,2.5,-73.98149872,40.73299408,-73.96877289,40.76338577,58335
1,1.6,-73.98571014,40.72818375,-73.98882294,40.74453354,58340
1,1.4,-73.99143982,40.74980164,-73.98049164,40.76083755,58341
1,1.93,-74.0052948,40.72872925,-73.98543549,40.74373627,58342
1,2.7,-73.99002838,40.75133514,-73.97854614,40.72460938,58347
6,0.46,-73.98711395,40.75600052,-73.99133301,40.75001144,58352
1,0.3,-73.97167969,40.75715256,-73.97449493,40.75341034,58357
1,0.6,-73.97422791,40.7625351,-73.97947693,40.75532532,58362
1,0.89,-73.98014832,40.74581528,-73.99259949,40.74965668,58367
1,2.7,-73.98989105,40.73419189,-73.98809052,40.71144867,58368
1,1.2,-73.97143555,40.76077271,-73.97973633,40.74647141,58369
1,1.2,-73.99288177,40.75269318,-73.98209381,40.76168442,58374
1,0.6,-73.98355865,40.74409866,-73.98738098,40.75059509,58379
3,1.7,-73.97499847,40.74180222,-73.99072266,40.75705338,58384
1,2.2,-73.97786713,40.74220276,-74.0034256,40.75905991,58389
1,2,-73.99003601,40.74346161,-73.98338318,40.72624588,58390
1,0.9,-73.99921417,40.72514343,-73.99232483,40.73468018,58396
1,0.82,-73.98982239,40.73529053,-73.97872925,40.73632813,58397
4,4.4,-74.0076828,40.71019363,-73.99443817,40.76418686,58402
2,4.9,-74.0063324,40.7172699,-73.98191071,40.76501083,58407
1,2.3,-73.97369385,40.75478745,-73.99716949,40.73350525,58413
2,3.09,-74.00195313,40.72457886,-73.97863007,40.76199722,58418
2,1.67,-73.98342133,40.74435425,-73.9648819,40.75574112,58423
1,0.96,-73.98894501,40.74847031,-73.99168396,40.75826645,58424
3,1.73,-73.9977417,40.74591827,-73.97975922,40.76134109,58429
1,0.96,-74.00138855,40.7412796,-74.00144196,40.75133896,58434
1,2.7,-73.97750854,40.74941635,-74.00244141,40.71658707,58435
1,5.6,-74.00824738,40.71179581,-73.97488403,40.75694275,58443
2,2.95,-73.99291992,40.75279999,-74.00901794,40.72927856,58444
1,7.5,-73.9715271,40.76351929,-74.01393127,40.71192932,58445
4,1,-74.00507355,40.72025681,-73.99353027,40.72781372,58450
1,4.31,-73.98568726,40.76803589,-74.01123047,40.71327972,58455
1,2.3,-73.98937225,40.76303864,-73.99291992,40.73684311,58456
1,2.4,-74.00642395,40.73308182,-74.00059509,40.7617836,58461
1,0.45,-73.97087097,40.76131821,-73.97383118,40.75579071,58462
1,1.47,-73.97328949,40.76320648,-73.96264648,40.75935364,58463
4,0.77,-73.97228241,40.75770187,-73.98504639,40.75934982,58468
1,0.79,-73.97150421,40.74652481,-73.97536469,40.75415039,58470
1,0.6,-73.98985291,40.73512268,-73.98493195,40.74229431,58475
1,0.7,-73.98516083,40.74819183,-73.98377991,40.74090958,58476
1,2,-73.98334503,40.76144409,-74.00554657,40.74570084,58477
2,3.42,-73.99919891,40.7229805,-73.99569702,40.75934982,58482
1,1.95,-73.97544098,40.76074982,-73.99226379,40.74388885,58487
6,2.62,-74.00006104,40.71783829,-73.98912048,40.74783325,58488
2,1.4,-74.0047226,40.72122574,-74.01595306,40.71501541,58493
1,0.9,-73.97827911,40.75827408,-73.98575592,40.74645996,58498
2,1.2,-73.98581696,40.74111176,-73.99200439,40.72618866,58503
1,4.07,-74.01395416,40.71384811,-73.98883057,40.75364685,58508
5,0.78,-73.9905014,40.75125504,-73.99752045,40.74147797,58513
1,0.35,-73.98587799,40.7625351,-73.98266602,40.765625,58518
1,4,-73.99613953,40.72590637,-73.99028015,40.75671768,58523
1,0.8,-73.98705292,40.73355484,-73.99346161,40.72230911,58528
6,0.57,-73.9910202,40.72798538,-73.99081421,40.73437119,58533
1,1.26,-73.98420715,40.73847198,-73.99663544,40.74447632,58534
1,1.58,-73.98822784,40.74937057,-73.98271179,40.76534653,58539
2,0.95,-74.001091,40.74152374,-73.9927597,40.7529335,58545
2,0.9,-74.00797272,40.72256088,-74.00836945,40.73410416,58551
1,1,-73.9921875,40.75401688,-73.98256683,40.76708603,58556
2,0.51,-73.98032379,40.75516129,-73.97672272,40.75054169,58561
1,1.4,-73.98269653,40.7271843,-73.99542999,40.73103333,58566
1,0.32,-73.97434998,40.75400925,-73.9747467,40.750103,58572
1,2,-73.98566437,40.74415588,-73.99571228,40.76436234,58577
4,4.2,-74.00997162,40.72086334,-73.98513794,40.75989914,58582
1,0.6,-73.97415161,40.75639343,-73.98162842,40.75505066,58584
1,3.1,-74.00428772,40.75281143,-73.99498749,40.72081757,58585
5,0.87,-74.00515747,40.7190094,-74.01528168,40.7143898,58591
1,1.49,-73.98856354,40.76409912,-74.00219727,40.74533081,58596
1,1.6,-73.99324799,40.72445679,-74.00645447,40.73936462,58597
2,0.6,-73.98717499,40.76588821,-73.99700928,40.76607132,58602
1,1.4,-73.9863739,40.75514984,-73.98487854,40.76908112,58608
1,1.66,-74.00518036,40.73612976,-74.01119232,40.71332932,58613
1,1.6,-73.99165344,40.73855209,-73.98765564,40.72149658,58614
1,0.6,-73.97108459,40.7612381,-73.97855377,40.76296997,58619
5,2.24,-74.00350189,40.72676086,-73.98136902,40.74998093,58624
1,2.2,-73.97860718,40.75248337,-74.0059433,40.74552155,58625
5,2.12,-74.00096893,40.73165131,-73.9782486,40.75220871,58630
1,1,-73.99925995,40.76290894,-73.9825058,40.75546646,58636
1,3.6,-73.99324036,40.74734116,-74.01003265,40.70364761,58641
1,0.7,-73.97477722,40.76157761,-73.97071838,40.75616837,58646
2,1.4,-73.98417664,40.74656677,-73.99432373,40.76020432,58651
1,0.7,-73.99027252,40.74660873,-73.99958038,40.7507515,58656
1,0.9,-73.99659729,40.72515869,-73.98423004,40.72643661,58657
5,1.27,-73.98298645,40.74206543,-74.00166321,40.74501419,58658
2,5.2,-74.01046753,40.7019577,-73.97476959,40.75155258,58663
1,1,-73.98487091,40.72415924,-73.98957825,40.73439407,58668
1,2.4,-73.97348785,40.75807953,-73.99139404,40.75582504,58673
1,2.98,-73.96492004,40.76000595,-73.9980545,40.75595093,58674
1,5.4,-73.97058868,40.75880051,-74.01371002,40.7154541,58680
5,2.46,-74.00669861,40.71659088,-73.98216248,40.73744583,58685
1,5.37,-74.0149231,40.71396255,-73.98439789,40.73947525,58686
1,1.66,-73.96992493,40.75055695,-73.97564697,40.76485062,58691
1,1.3,-73.96835327,40.76250076,-73.98109436,40.75131989,58696
1,0.8,-73.97598267,40.7545433,-73.96891022,40.76416016,58697
1,0.9,-73.98735809,40.73308182,-73.97657776,40.73243713,58702
1,1.6,-73.99655151,40.7349472,-73.97921753,40.74438095,58707
1,1.9,-73.99342346,40.73999023,-73.97754669,40.7648201,58712
5,0.53,-73.98244476,40.76250839,-73.98691559,40.7561264,58713
1,2,-74.0021286,40.7206459,-73.99146271,40.73925018,58714
4,1.28,-74.00681305,40.73054123,-74.00016022,40.73869705,58719
1,1.1,-74.00015259,40.73482513,-73.98240662,40.73151398,58720
2,1.15,-73.98381042,40.76702118,-73.97395325,40.7567215,58725
2,2.2,-74.0007782,40.75029755,-73.97506714,40.76530838,58730
1,1.9,-73.99650574,40.76002121,-73.99044037,40.74024582,58735
1,1.7,-73.99299622,40.73632813,-73.99160767,40.71768188,58741
1,5.2,-73.97183228,40.75723267,-74.00523376,40.70551682,58746
4,1.34,-73.99169159,40.74327087,-73.97483826,40.74201965,58748
1,0.5,-73.96813202,40.75069046,-73.97503662,40.75230026,58753
1,1.1,-73.98220062,40.76878357,-73.97651672,40.75774002,58754
1,0.6,-73.98922729,40.73874283,-73.99697876,40.74014282,58759
1,0.72,-73.97983551,40.76154327,-73.97815704,40.75400162,58764
2,1.7,-73.9862442,40.75643539,-74.00267792,40.73389816,58769
4,3.5,-73.99652863,40.72503662,-73.99217987,40.76443481,58770
1,1.3,-73.98787689,40.74111176,-73.9751358,40.75673294,58771
1,0.87,-73.99147797,40.75638962,-73.98243713,40.76735306,58776
1,1.3,-73.97975922,40.74641037,-73.99661255,40.74327087,58777
1,3,-73.98879242,40.7211113,-74.00662994,40.75131607,58778
1,0.85,-73.97665405,40.76387024,-73.97949219,40.75410461,58783
5,1.86,-73.9854126,40.74739075,-74.00048828,40.72703171,58788
1,2.16,-73.96019745,40.75767136,-73.98880005,40.7532196,58789
1,1.45,-73.98400116,40.75733948,-73.9901886,40.74649811,58794
1,0.8,-73.98522186,40.75343704,-73.9741745,40.74701691,58795
2,5.95,-73.97403717,40.75963974,-74.01130676,40.70529938,58800
1,0.8,-73.98213196,40.76856613,-73.99181366,40.7689209,58805
1,1.6,-74.00353241,40.74827957,-74.00965118,40.7326889,58810
1,3.78,-74.01519012,40.71131516,-73.99549103,40.7498703,58816
1,1.65,-73.98498535,40.74237061,-73.9800415,40.76063156,58818
1,1.4,-73.98363495,40.74357986,-73.99221039,40.72586441,58823
3,1.34,-73.99668121,40.76332092,-73.99488831,40.75011063,58828
5,0.87,-73.9942627,40.73521042,-73.99311066,40.72610855,58833
1,0.68,-73.98330688,40.73819351,-73.98310852,40.74517822,58835
1,1.5,-73.98304749,40.74502563,-73.97676849,40.76167297,58840
2,0.8,-73.98500061,40.75180435,-73.9903717,40.7566185,58841
1,0.56,-73.97270203,40.76505661,-73.96460724,40.76077271,58846
2,1.19,-73.97497559,40.76163864,-73.98657227,40.75067139,58848
1,1.6,-73.98018646,40.75455093,-73.97084045,40.75196457,58853
1,1.6,-73.98087311,40.74777603,-73.99617767,40.72629547,58859
1,1.9,-73.99520874,40.73974609,-73.9763031,40.75608826,58860
1,0.89,-73.99349213,40.75000763,-73.9860611,40.74650955,58865
2,1.69,-74.00658417,40.74227905,-73.99591827,40.76237106,58866
1,1.2,-74.00733948,40.74343109,-73.99656677,40.73201752,58871
1,2.2,-73.9760437,40.75746155,-73.99564362,40.73542404,58877
2,1.44,-73.99176025,40.75011063,-73.98429108,40.76122284,58882
1,1.44,-73.99694061,40.75285339,-73.9854126,40.76002121,58887
1,1.8,-73.99156189,40.7498436,-73.98389435,40.73181915,58888
1,5.9,-73.96906281,40.76082611,-74.0082016,40.71492386,58893
1,0.3,-73.97738647,40.75535202,-73.97088623,40.75259399,58898
1,0.9,-73.98177338,40.7437439,-73.99385071,40.74049759,58899
2,2.09,-73.98412323,40.75315094,-74.00494385,40.74081421,58904
1,0.71,-73.98455811,40.73685074,-73.97722626,40.7430687,58909
1,1.96,-74.0034256,40.72711945,-73.97831726,40.73718643,58910
1,4.5,-74.00722504,40.71296692,-73.98323059,40.7347374,58915
5,2.07,-73.99088287,40.72825241,-73.9932251,40.74969101,58916
1,1.1,-73.99751282,40.72431183,-74.00149536,40.73742294,58921
1,0.3,-73.99346924,40.72462463,-73.99897766,40.72666931,58922
1,2,-73.99081421,40.73451233,-74.00844574,40.7085495,58927
2,1.5,-73.9973526,40.73655701,-73.9801178,40.74583435,58932
2,0.6,-74.00131989,40.74141312,-74.00728607,40.74190903,58933
2,0.94,-73.97160339,40.75718307,-73.98194885,40.76482391,58938
1,0.3,-73.97375488,40.76002502,-73.97154236,40.76108551,58943
5,1.34,-73.97797394,40.73789215,-73.99147034,40.7490387,58948
1,0.8,-73.99285889,40.74316406,-73.98485565,40.75372314,58953
4,2.5,-74.00284576,40.72503662,-73.9878006,40.75445175,58958
2,1.9,-74.00634766,40.73381424,-73.99375153,40.75707245,58959
3,0.9,-73.97724152,40.75471878,-73.97502136,40.76253128,58964
2,1,-74.00283813,40.74461746,-74.00615692,40.73533249,58969
1,1.69,-73.9912262,40.74990845,-73.97254944,40.75445175,58974
1,1.49,-74.00106049,40.72589111,-74.00778198,40.71178818,58975
1,0.4,-73.97296143,40.74601746,-73.9773407,40.74262238,58981
1,1.1,-73.9850235,40.75207138,-73.99131012,40.73917007,58986
1,4.53,-74.01408386,40.71389771,-73.98474121,40.75987244,58991
2,1.2,-74.00250244,40.75006866,-73.99320984,40.73908615,58997
1,1.2,-73.98097229,40.72069168,-73.98554993,40.73180389,58998
2,4.19,-74.01143646,40.70749283,-73.98318481,40.72512054,59004
3,1.4,-74.00983429,40.72022629,-74.00826263,40.73755646,59009
1,1.09,-73.97828674,40.75099182,-73.99350739,40.7497406,59010
3,3.7,-73.99878693,40.71969986,-73.98748779,40.76237488,59015
1,1.7,-73.97945404,40.7610054,-73.99785614,40.75743103,59020
1,1.7,-73.98692322,40.74474716,-73.97679901,40.76062775,59022
5,5.32,-73.9776001,40.76374817,-74.01442719,40.71429443,59023
1,1,-73.99120331,40.75595856,-73.98900604,40.76840591,59028
1,2.36,-73.97742462,40.74979019,-73.99354553,40.76224136,59033
1,2,-73.96786499,40.75600052,-73.98275757,40.73138809,59038
1,0.8,-73.98657227,40.73895264,-73.99356842,40.74591064,59043
1,3.82,-74.01391602,40.71345901,-73.98687744,40.75154114,59044
1,2,-73.98823547,40.75488281,-74.00803375,40.73284912,59049
1,1.8,-73.97938538,40.75314713,-73.97938538,40.73640823,59054
5,0.64,-73.99539948,40.72497177,-74.00431061,40.73049164,59057
1,0.8,-73.97312164,40.76366425,-73.98110199,40.75285339,59058
1,1.1,-73.99266052,40.75445175,-73.99466705,40.76561737,59063
2,2.4,-73.97510529,40.75643539,-74.00257111,40.76082611,59069
1,2.96,-73.97507477,40.75100708,-74.00605774,40.74001694,59074
1,0.6,-73.98181915,40.73109818,-73.99142456,40.73529816,59079
1,3.6,-73.97564697,40.76047134,-74.00527191,40.71538162,59080
1,0.62,-73.99051666,40.76137543,-73.98412323,40.7648735,59082
1,5,-74.0022049,40.70980453,-73.97207642,40.75743103,59087
1,0.7,-73.99715424,40.73674774,-73.9881134,40.7322464,59092
1,0.91,-73.98871613,40.73707962,-73.9842453,40.74728012,59093
1,1.1,-73.99154663,40.73514175,-74.00771332,40.73292542,59098
2,1.11,-73.97698212,40.72904587,-73.97019958,40.74858475,59103
2,3.7,-74.00096893,40.72035599,-73.97866058,40.76403427,59108
1,1.1,-73.99417114,40.75152588,-73.98052979,40.76185608,59109
1,4.9,-73.97107697,40.75128555,-74.01263428,40.70190811,59114
1,1.24,-73.98625183,40.76067352,-73.97620392,40.76499939,59119
2,1.6,-74.01457214,40.71054459,-74.00227356,40.72466278,59120
1,1.69,-73.98830414,40.73423767,-73.98957825,40.72179031,59125
1,4.1,-73.9757843,40.74051666,-74.01137543,40.70179367,59126
3,2.7,-73.99337769,40.73633957,-74.01106262,40.70398331,59131
2,1.3,-73.98943329,40.73015213,-74.00463104,40.73472595,59136
1,0.6,-73.98069763,40.75202942,-73.9732132,40.74621582,59141
4,1.79,-74.00138855,40.75203323,-73.99154663,40.76449585,59146
1,1,-73.97881317,40.73685837,-73.99274445,40.74462128,59147
1,1,-73.97704315,40.76030731,-73.98889923,40.75360489,59152
2,1.1,-74.00524902,40.75114822,-73.99367523,40.75183868,59153
